Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Saare maakond,2013,1,eluhoone,101 Lahtise tule kasutamisel,4
Pärnu maakond,2013,1,-Puudub-,601 Kindlaks tegemata põhjus,4
Ida-Viru maakond,2013,1,eluhoone,104 Elektriseadmete kasutamisel,4
Valga maakond,2013,2,eluhoone,102 Suitsetamisel,5
Harju maakond,2013,1,eluhoone,601 Kindlaks tegemata põhjus,5
Põlva maakond,2013,1,eluhoone,102 Suitsetamisel,6
Valga maakond,2013,1,mitteeluhoone,601 Kindlaks tegemata põhjus,7
Põlva maakond,2013,1,-Puudub-,102 Suitsetamisel,7
Saare maakond,2013,1,eluhoone,104 Elektriseadmete kasutamisel,8
Ida-Viru maakond,2013,1,eluhoone,102 Suitsetamisel,8
Võru maakond,2013,1,eluhoone,102 Suitsetamisel,9
Pärnu maakond,2013,1,eluhoone,102 Suitsetamisel,9
Harju maakond,2013,1,eluhoone,102 Suitsetamisel,9
Põlva maakond,2013,1,eluhoone,601 Kindlaks tegemata põhjus,10
Jõgeva maakond,2013,1,eluhoone,601 Kindlaks tegemata põhjus,10
Harju maakond,2013,2,eluhoone,601 Kindlaks tegemata põhjus,10
Valga maakond,2013,2,eluhoone,101 Lahtise tule kasutamisel,11
Harju maakond,2013,1,mitteeluhoone,601 Kindlaks tegemata põhjus,11
Viljandi maakond,2013,2,eluhoone,105 Kütteseadmete kasutamisel,12
Valga maakond,2013,2,eluhoone,102 Suitsetamisel,12
Rapla maakond,2013,1,eluhoone,105 Kütteseadmete kasutamisel,12
Lääne maakond,2013,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Jõgeva maakond,2013,1,eluhoone,101 Lahtise tule kasutamisel,12
Ida-Viru maakond,2013,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2013,1,mitteeluhoone,102 Suitsetamisel,12
Harju maakond,2013,1,eluhoone,102 Suitsetamisel,12
Harju maakond,2013,1,eluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2013,1,eluhoone,601 Kindlaks tegemata põhjus,12
Lääne-Viru maakond,2014,1,eluhoone,102 Suitsetamisel,1
Lääne-Viru maakond,2014,1,eluhoone,210 Süütamine,1
Harju maakond,2014,3,eluhoone,601 Kindlaks tegemata põhjus,1
Harju maakond,2014,1,eluhoone,102 Suitsetamisel,1
Võru maakond,2014,3,eluhoone,102 Suitsetamisel,2
Võru maakond,2014,1,eluhoone,403 Rike elektripaigaldises,2
Tartu maakond,2014,1,eluhoone,105 Kütteseadmete kasutamisel,2
Saare maakond,2014,1,eluhoone,105 Kütteseadmete kasutamisel,2
Lääne-Viru maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,2
Ida-Viru maakond,2014,2,eluhoone,102 Suitsetamisel,2
Harju maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,2
Viljandi maakond,2014,1,eluhoone,102 Suitsetamisel,3
Tartu maakond,2014,2,-Puudub-,105 Kütteseadmete kasutamisel,3
Pärnu maakond,2014,1,eluhoone,102 Suitsetamisel,3
Rapla maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,4
Harju maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,4
Ida-Viru maakond,2014,1,eluhoone,102 Suitsetamisel,5
Rapla maakond,2014,1,eluhoone,102 Suitsetamisel,6
Jõgeva maakond,2014,2,eluhoone,102 Suitsetamisel,6
Harju maakond,2014,1,eluhoone,102 Suitsetamisel,6
Tartu maakond,2014,1,eluhoone,101 Lahtise tule kasutamisel,7
Harju maakond,2014,1,eluhoone,601 Kindlaks tegemata põhjus,7
Harju maakond,2014,1,eluhoone,102 Suitsetamisel,8
Pärnu maakond,2014,2,eluhoone,102 Suitsetamisel,9
Valga maakond,2014,1,eluhoone,105 Kütteseadmete kasutamisel,10
Harju maakond,2014,1,eluhoone,601 Kindlaks tegemata põhjus,10
Tartu maakond,2014,1,eluhoone,104 Elektriseadmete kasutamisel,11
Järva maakond,2014,2,eluhoone,102 Suitsetamisel,11
Harju maakond,2014,2,-Puudub-,601 Kindlaks tegemata põhjus,11
Harju maakond,2014,1,eluhoone,601 Kindlaks tegemata põhjus,11
Rapla maakond,2014,1,-Puudub-,101 Lahtise tule kasutamisel,12
